1,zz,Tue Aug 02 09:59:35 UTC 2011,true,true,南四环十八里河,,张安起,郑州中转部,0,,,zzzzb,郑,Branch,Tue Aug 02 10:21:29 UTC 2011
2,1,Tue Aug 02 09:59:35 UTC 2011,true,false,磁县南站,,,磁县南站,0,,,cxnz,磁,Branch,Tue Aug 02 09:59:35 UTC 2011
3,2,Tue Aug 02 09:59:35 UTC 2011,true,false,商都,,,商都,0,,,sd,商,Branch,Tue Aug 02 09:59:35 UTC 2011
4,3,Tue Aug 02 09:59:35 UTC 2011,true,false,马头,,,马头,0,,,mt,马,Branch,Tue Aug 02 09:59:35 UTC 2011
5,4,Tue Aug 02 09:59:35 UTC 2011,true,false,光录,,,光录,0,,,gl,光,Branch,Tue Aug 02 09:59:35 UTC 2011
6,5,Tue Aug 02 09:59:35 UTC 2011,true,false,邯郸1部,,,邯郸1部,0,,,hd1b,邯,Branch,Tue Aug 02 09:59:35 UTC 2011
7,6,Tue Aug 02 09:59:35 UTC 2011,true,false,邯郸2部,,,邯郸2部,0,,,hd2b,邯,Branch,Tue Aug 02 09:59:35 UTC 2011
